segment,total_revenue,avg_customer_value,customers,revenue_share
0,4837133.5,234.66421675641584,20613,0.04279806761962383
1,29691.91,139.39863849765257,213,0.0002627085590951304
2,108097990.49,584.1808372693766,185042,0.956431139751771
3,138.9,34.725,4,1.2289616551550106e-06
4,57285.9,169.98783382789318,337,0.0005068551078548914
